User Query,Expected Question,Retrieved Question,Actual Focus Area,Retrieved Focus Area,Similarity
is isobutyryl-coa dehydrogenase deficiency inherited ?,Is isobutyryl-CoA dehydrogenase deficiency inherited ?,Is Isobutyryl-CoA dehydrogenase deficiency inherited ?,isobutyryl-CoA dehydrogenase deficiency,Isobutyryl-CoA dehydrogenase deficiency,1.0000001
is hypokalemic periodic paralysis inherited ?,Is Hypokalemic periodic paralysis inherited ?,Is hypokalemic periodic paralysis inherited ?,Hypokalemic periodic paralysis,hypokalemic periodic paralysis,1.0000001
what to do for hypothyroidism ?,What to do for Hypothyroidism ?,What to do for Hypothyroidism ?,Hypothyroidism,Hypothyroidism,1.0
is holt-oram syndrome inherited ?,Is Holt-Oram syndrome inherited ?,Is Holt-Oram syndrome inherited ?,Holt-Oram syndrome,Holt-Oram syndrome,1.0
how to prevent balance problems ?,How to prevent Balance Problems ?,How to prevent Balance Problems ?,Balance Problems,Balance Problems,1.0
how to diagnose primary hyperparathyroidism ?,How to diagnose Primary Hyperparathyroidism ?,How to diagnose Primary Hyperparathyroidism ?,Primary Hyperparathyroidism,Primary Hyperparathyroidism,1.0
how to prevent copd ?,How to prevent COPD ?,How to prevent COPD ?,COPD,COPD,1.0
is fragile x syndrome inherited ?,Is Fragile X syndrome inherited ?,Is fragile X syndrome inherited ?,Fragile X syndrome,fragile X syndrome,1.0
explain (are) fibrodysplasia ossificans progressiva ?,What is (are) Fibrodysplasia ossificans progressiva ?,What is (are) fibrodysplasia ossificans progressiva ?,Fibrodysplasia ossificans progressiva,fibrodysplasia ossificans progressiva,0.9779482
explain (are) pallister-killian mosaic syndrome ?,What is (are) Pallister-Killian mosaic syndrome ?,What is (are) Pallister-Killian mosaic syndrome ?,Pallister-Killian mosaic syndrome,Pallister-Killian mosaic syndrome,0.9739712
explain (are) dihydropyrimidine dehydrogenase deficiency ?,What is (are) dihydropyrimidine dehydrogenase deficiency ?,What is (are) Dihydropyrimidine dehydrogenase deficiency ?,dihydropyrimidine dehydrogenase deficiency,Dihydropyrimidine dehydrogenase deficiency,0.973147
explain (are) renal tubular acidosis ?,What is (are) Renal Tubular Acidosis ?,What is (are) Renal Tubular Acidosis ?,Renal Tubular Acidosis,Renal Tubular Acidosis,0.97296846
explain (are) 21-hydroxylase deficiency ?,What is (are) 21-hydroxylase deficiency ?,What is (are) 21-hydroxylase deficiency ?,21-hydroxylase deficiency,21-hydroxylase deficiency,0.97220373
explain (are) prader-willi syndrome ?,What is (are) Prader-Willi Syndrome ?,What is (are) Prader-Willi syndrome ?,Prader-Willi Syndrome,Prader-Willi syndrome,0.97065306
explain (are) troyer syndrome ?,What is (are) Troyer Syndrome ?,What is (are) Troyer syndrome ?,Troyer Syndrome,Troyer syndrome,0.96870536
explain (are) cyclic vomiting syndrome ?,What is (are) Cyclic Vomiting Syndrome ?,What is (are) Cyclic Vomiting Syndrome ?,Cyclic Vomiting Syndrome,Cyclic Vomiting Syndrome,0.96868193
explain (are) brody myopathy ?,What is (are) Brody myopathy ?,What is (are) Brody myopathy ?,Brody myopathy,Brody myopathy,0.9684496
explain (are) trigeminal neuralgia ?,What is (are) Trigeminal Neuralgia ?,What is (are) Trigeminal neuralgia ?,Trigeminal Neuralgia,Trigeminal neuralgia,0.968345
explain (are) age-related macular degeneration ?,What is (are) Age-related Macular Degeneration ?,What is (are) Age-related Macular Degeneration ?,Age-related Macular Degeneration,Age-related Macular Degeneration,0.96746093
